Date,Open,High,Low,Close,Adjusted_close,Volume
9/9/2019,7.28,7.2831,6.13,6.81,6.81,5164179
9/10/2019,6.73,6.75,6.3,6.39,6.39,3635635
9/11/2019,6.38,6.83,6.3501,6.7,6.7,2327897
9/12/2019,6.81,6.9175,6.7105,6.76,6.76,1703573
9/13/2019,6.7,6.84,6.61,6.66,6.66,1059941
9/16/2019,6.56,6.93,6.45,6.8,6.8,1384800
9/17/2019,6.83,7.08,6.83,6.94,6.94,1483898
9/18/2019,6.92,6.98,6.5,6.7,6.7,1813905
9/19/2019,6.71,6.91,6.71,6.77,6.77,1244060
9/20/2019,6.76,6.96,6.7174,6.95,6.95,2107635
9/23/2019,6.99,7.26,6.96,7.11,7.11,2108081
9/24/2019,7.18,7.33,6.605,6.65,6.65,2488953
9/25/2019,6.59,6.84,6.42,6.79,6.79,1673932
9/26/2019,6.8,6.9265,6.5368,6.685,6.685,1075843
9/27/2019,6.69,6.79,5.78,6.26,6.26,3204522
9/30/2019,6.12,6.51,6.12,6.445,6.445,2115331
10/1/2019,6.46,6.66,6.28,6.36,6.36,1553851
10/2/2019,6.28,6.28,5.95,6.05,6.05,2067058
10/3/2019,6.05,6.32,5.99,6.31,6.31,1198527
10/4/2019,6.36,6.48,6.2,6.465,6.465,970538
10/7/2019,6.42,6.54,6.28,6.4,6.4,1323812
10/8/2019,6.29,6.36,6.03,6.195,6.195,1337795
10/9/2019,6.24,6.395,6.23,6.3,6.3,779193
10/10/2019,6.27,6.4343,6.11,6.23,6.23,1668074
10/11/2019,6.36,6.55,6.25,6.415,6.415,1125327
10/14/2019,6.45,6.545,6.32,6.41,6.41,511203
10/15/2019,6.45,6.655,6.45,6.6,6.6,1087453
10/16/2019,6.54,6.54,6.25,6.425,6.425,1128047
10/17/2019,6.42,6.66,6.3973,6.59,6.59,1112054
10/18/2019,6.54,6.6261,6.3,6.56,6.56,1191555
10/21/2019,6.55,6.876,6.53,6.76,6.76,1440281
10/22/2019,6.82,7.28,6.75,6.79,6.79,2248952
10/23/2019,6.89,7.23,6.81,6.98,6.98,1609805
10/24/2019,7.1,7.37,6.91,7.2,7.2,2288103
10/25/2019,7.12,7.37,7.0367,7.23,7.23,1325380
10/28/2019,7.25,7.57,7.24,7.52,7.52,1749897
10/29/2019,7.6,7.78,7.45,7.52,7.52,2094272
10/30/2019,7.58,7.6,6.84,7.2,7.2,2938928
10/31/2019,7.17,7.28,6.82,6.99,6.99,2132321
11/1/2019,7,7.26,6.95,7.04,7.04,1409107
11/4/2019,7.12,7.29,7.02,7.105,7.105,1953545
11/5/2019,7.07,7.09,6.31,6.83,6.83,4375091
11/6/2019,6.88,6.975,6.77,6.88,6.88,1187940
11/7/2019,6.88,6.93,6.63,6.86,6.86,1626086
11/8/2019,6.85,7.15,6.85,7.07,7.07,1959361
11/11/2019,7.2,7.37,6.93,7.33,7.33,2823866
11/12/2019,7.45,8.33,7.37,8.29,8.29,7008965
11/13/2019,8.32,8.51,8.02,8.21,8.21,3196337
11/14/2019,8.11,8.3483,7.92,8.07,8.07,2428412
11/15/2019,8.2,8.219,7.71,7.96,7.96,2442896
11/18/2019,7.96,8.3696,7.77,8.21,8.21,2636617
11/19/2019,8.32,8.54,8.09,8.39,8.39,2564490
11/20/2019,8.31,8.73,8.3,8.4,8.4,2395840
11/21/2019,8.47,8.5999,8.34,8.43,8.43,1348339
11/22/2019,8.47,8.52,8.13,8.37,8.37,1580078
11/25/2019,8.44,8.53,8.03,8.08,8.08,2435473
11/26/2019,8.09,8.335,7.97,8.24,8.24,2615275
11/27/2019,8.29,8.77,8.2501,8.63,8.63,2523037
11/29/2019,8.6,9.125,8.6,8.88,8.88,2465421
12/2/2019,9,9.02,8.37,8.54,8.54,3531461
12/3/2019,8.2,8.56,8.08,8.26,8.26,4915247
12/4/2019,8.3,8.39,8.05,8.26,8.26,1883201
12/5/2019,8.33,8.47,8.24,8.295,8.295,1265084
12/6/2019,8.31,8.49,8.28,8.35,8.35,1388910
12/9/2019,8.33,8.64,8.285,8.37,8.37,1832225
12/10/2019,8.38,8.47,8.16,8.27,8.27,1484711
12/11/2019,8.28,8.305,8.09,8.12,8.12,1318578
12/12/2019,8.06,8.14,7.38,7.62,7.62,4973756
12/13/2019,7.62,7.69,7.28,7.34,7.34,2297808
12/16/2019,7.4,7.7,7.4,7.6,7.6,2039919
12/17/2019,7.69,7.95,7.6045,7.88,7.88,2547066
12/18/2019,7.93,8.075,7.75,7.8,7.8,2361527
12/19/2019,7.81,7.89,7.52,7.6,7.6,2570763
12/20/2019,7.64,7.67,7.46,7.56,7.56,2792519
12/23/2019,7.57,7.84,7.52,7.75,7.75,1657735
12/24/2019,7.78,7.9,7.77,7.88,7.88,712382
12/26/2019,7.89,8.23,7.89,8.08,8.08,1603432
12/27/2019,8.14,8.24,7.34,7.4,7.4,4056345
12/30/2019,7.42,7.5,6.94,7.01,7.01,3991093
12/31/2019,6.95,7.25,6.91,7.13,7.13,2442361
1/2/2020,7.21,7.35,7.1211,7.31,7.31,1721282
1/3/2020,7.2,7.46,7.12,7.35,7.35,1369517
1/6/2020,7.3,7.46,7.24,7.38,7.38,1457364
1/7/2020,7.38,7.54,7.2822,7.475,7.475,1441012
1/8/2020,7.47,7.605,7.35,7.4,7.4,1689790
1/9/2020,7.5,7.52,7.18,7.31,7.31,2031622
1/10/2020,7.35,7.36,7.185,7.23,7.23,1100343
