Date,Open,High,Low,Close,Adjusted_close,Volume
7/20/2009,2.75,2.75,2.1,2.1,2.1,2374
7/30/2009,2.7,2.75,2.55,2.75,2.75,5371.8
8/3/2009,2.25,2.75,2.1,2.1,2.1,10793.6
8/12/2009,2.1,2.1,2.05,2.05,2.05,2944.2
8/18/2009,2.05,2.05,1.95,1.95,1.95,4820
8/25/2009,1.95,2.05,1.95,2,2,2366.2
8/31/2009,2.05,2.05,2,2,2,14043.4
9/8/2009,2.25,2.25,2,2.25,2.25,10709
9/15/2009,2.5,2.5,2.25,2.25,2.25,6799.8
9/21/2009,2.25,2.5,2.1,2.5,2.5,23290
9/28/2009,2.5,2.5,2.25,2.25,2.25,6200
10/5/2009,2.4,2.5,2.35,2.35,2.35,18200
10/15/2009,2.25,2.55,2.25,2.5,2.5,6860
10/19/2009,2.45,2.5,2.05,2.2,2.2,8137
10/28/2009,2.2,2.75,2.1,2.45,2.45,9870.6
11/2/2009,2.5,2.5,2.2,2.2,2.2,423
11/9/2009,2.2,2.5,2.2,2.5,2.5,600
11/16/2009,2.4,2.5,2.4,2.4,2.4,1280
12/2/2009,1.95,1.95,1.8,1.8,1.8,940.4
12/15/2009,1.8,1.8,1.75,1.75,1.75,1632
12/23/2009,1.8,2.5,1.8,2.5,2.5,6200
1/4/2010,1.9,2.5,1.9,1.9,1.9,8396.6
1/14/2010,2.5,2.5,2.5,2.5,2.5,20
1/19/2010,1.9,2.25,1.9,1.9,1.9,242.4
1/25/2010,2.25,2.25,1.9,1.9,1.9,240.4
2/1/2010,2.25,2.25,1.5,2,2,112.4
2/17/2010,2,2,2,2,2,1000
3/3/2010,1.5,1.5,1.5,1.5,1.5,220.4
3/8/2010,2,2,2,2,2,60
3/29/2010,2,2,1.5,1.5,1.5,481
4/6/2010,1.5,1.5,1.5,1.5,1.5,2200
4/13/2010,1.05,1.5,1.05,1.5,1.5,120
4/21/2010,1.05,1.45,1.05,1.45,1.45,1180
4/27/2010,1.5,1.5,1.5,1.5,1.5,80
5/24/2010,1,1.75,1,1.75,1.75,70
6/4/2010,1,1,1,1,1,1000
6/11/2010,0.75,1.15,0.75,1.15,1.15,64.4
6/18/2010,1.15,1.15,1.15,1.15,1.15,2098.4
6/21/2010,1,1.75,1,1.75,1.75,4527.2
6/28/2010,2,2,1.2,1.75,1.75,5880
7/6/2010,1.75,2,1.75,1.75,1.75,3100
7/12/2010,1.75,1.75,1.75,1.75,1.75,7000
