Date,Open,High,Low,Close,Adjusted_close,Volume
5/24/1982,66.754,67.25,65.377,65.63,0.6705,401803
6/1/1982,65.499,67.625,65.377,67.503,0.6889,525304
6/7/1982,68,69.255,67.007,69.002,0.7047,939105
6/14/1982,68.749,69.873,68.253,69.873,0.7139,489803
6/21/1982,69.002,71.503,68.627,70.632,0.7213,1133903
6/28/1982,71.503,72.505,70.754,71.128,0.7261,657605
7/6/1982,70.632,73.751,70.257,73.629,0.7522,725002
7/12/1982,74.874,77.254,74.257,77.001,0.7862,1437402
7/19/1982,76.505,77.001,75.259,75.755,0.9178,537804
7/26/1982,75.006,75.877,72.748,73.254,0.8883,685604
8/2/1982,74.378,74.631,68.749,69.255,0.8397,770503
8/9/1982,69.751,70.632,68.506,69.508,0.8427,648003
8/16/1982,69.63,77.254,69.63,77.132,0.9352,1317903
8/23/1982,78.874,81.375,75.877,78.499,0.9518,1160004
8/30/1982,79.633,85.384,77.75,84.503,1.0243,1070501
9/7/1982,83.005,84.878,79.502,80.625,0.9775,698404
9/13/1982,82.873,86.133,80.251,84.625,1.026,654705
9/20/1982,84.503,88.25,83.876,87.004,1.0547,543504
9/27/1982,85.384,86.883,79.998,80.757,0.9793,828904
10/4/1982,81.375,86.255,56.005,60.251,1.0958,1747804
10/11/1982,61.25,62.255,57.004,57.375,1.0473,1577701
10/18/1982,58.124,62.255,56.754,59.751,1.0907,2041002
10/25/1982,57.753,60.75,57.004,60.129,1.098,1016802
11/1/1982,61.499,65.63,59.38,64.753,1.1823,939602
11/8/1982,63.005,64.253,61.499,61.999,1.1318,1039903
11/15/1982,59.751,61.499,57.753,59.501,1.0864,1084901
11/22/1982,58.502,60.878,58.381,60.878,1.1116,593903
11/29/1982,60.629,61.378,59.38,60.5,1.1045,1098402
12/6/1982,60.629,61,56.754,56.876,1.0384,1584004
12/13/1982,57.254,58.253,53.629,58.124,1.0609,1819103
12/20/1982,58.003,59.252,56.504,58.003,1.0591,992602
12/27/1982,58.502,60.5,57.503,60.379,1.1022,831202
1/3/1983,58.381,60.878,56.754,58.003,1.0591,1509101
1/10/1983,58.003,59.002,57.004,57.503,1.0497,788103
1/17/1983,57.503,58.752,56.005,56.126,1.0245,909604
1/24/1983,55.377,59.879,54.878,58.502,1.0727,900101
1/31/1983,59.002,62.876,57.254,62.755,1.1499,994503
2/7/1983,62.255,63.376,60.129,61,1.1182,1006202
2/14/1983,61.25,61.499,59.751,61,1.1182,1182002
2/22/1983,61.499,67.379,61.499,65.502,1.2005,1084402
2/28/1983,66.13,69.505,65.374,68,1.2464,1076002
3/7/1983,68.249,69.876,66.629,68,1.2464,914602
3/14/1983,67.5,69.005,67.001,67.878,1.2438,614101
3/21/1983,69.505,71.503,67.5,69.377,1.2717,985004
3/28/1983,69.255,70.504,68.249,68.749,1.2602,394802
4/4/1983,69.005,69.505,66.751,68.506,1.2557,687301
4/11/1983,69.505,70.254,67.75,68.877,1.2629,595402
4/18/1983,71.753,74.5,69.755,73.501,1.3474,878604
4/25/1983,73.251,74,65.003,69.505,1.2736,2695804
5/2/1983,67.379,69.127,65.131,66.751,1.2235,1821204
5/9/1983,67.878,68.249,64.004,65.003,1.1921,1422301
5/16/1983,65.252,65.63,63.005,63.754,1.1684,1196602
5/23/1983,64.874,66.501,62.876,63.254,1.1638,984602
5/31/1983,63.005,64.253,61.756,61.999,1.1407,1034501
6/6/1983,62.755,63.504,60.75,62.755,1.155,1837202
6/13/1983,64.253,65.502,62.255,62.627,1.1524,1363602
6/20/1983,62.876,66.501,62.255,66.13,1.217,1504800
6/27/1983,65.88,66.501,64.874,65.502,1.2051,661402
7/5/1983,64.253,66.501,63.754,65.252,1.2005,678301
7/11/1983,65.252,65.88,63.376,64.004,1.1824,627402
7/18/1983,63.875,67.001,63.626,64.625,1.1937,803004
7/25/1983,64.004,65.003,60.001,61.499,1.1358,840602
8/1/1983,60.878,61.999,57.625,57.875,1.0691,1190503
8/8/1983,57.004,59.002,56.504,58.124,1.0738,1782303
8/15/1983,58.752,59.002,57.254,57.625,1.0643,1192703
8/22/1983,57.625,58.502,55.755,58.381,1.0784,1076802
8/29/1983,58.752,61,57.375,60.75,1.1217,654901
9/6/1983,62.255,63.376,61.628,62.255,1.1496,655802
9/12/1983,62.755,64.004,61.378,63.005,1.1638,834503
9/19/1983,64.004,66.13,63.126,65.63,1.2123,848802
9/26/1983,65.374,66.002,64.253,64.625,1.1937,487802
10/3/1983,65.374,67.5,64.375,67.25,1.2422,691002
10/10/1983,66.879,67.628,66.13,66.501,1.2281,659000
10/17/1983,66.501,67.379,65.502,67.129,1.2401,421404
10/24/1983,68.128,70.754,66.751,69.626,1.291,1464703
10/31/1983,69.505,70.004,67.75,69.127,1.2817,847002
11/7/1983,69.876,73.751,69.255,73.751,1.3673,1376802
11/14/1983,73.501,74.378,71.503,72.252,1.3396,832202
11/21/1983,73.001,73.13,70.004,71.125,1.3185,680802
11/28/1983,70.875,73.001,70.004,72.502,1.3445,1055301
12/5/1983,72.002,73.001,71.125,71.753,1.3302,986303
12/12/1983,71.503,72.002,69.505,70.126,1.2999,966002
12/19/1983,70.504,71.253,69.005,70.376,1.3051,566501
12/27/1983,71.253,71.253,70.004,70.504,1.3072,308202
